RAOB/Space
    Balloon release date and time                	2017-02-03T18:44:12
    Station name                                 	UMBC
    Sonde type                                   	RS41-SGP
    System trademark and model                   	MW41
    Software version                             	MW41 2.2.0
    Sonde software version                       	2.2.13
    Sounding status                              	Ok

     P  Temp  Dewp  RH Dir Speed HeightMSL    Lat     Lon Elapsed time
   hPa    °C    °C   %   °   m/s         m      °       °          min
 889.6  -4.2 -17.6  35 267   9.6      1105 37.837 -75.469         3.37
 889.1  -4.2 -17.9  33 267   9.6      1111 37.837 -75.469         3.39
 888.5  -4.2 -18.4  32 267   9.7      1116 37.837 -75.468         3.40
 888.0  -4.2 -18.9  31 267   9.7      1120 37.837 -75.468         3.42
 887.4  -4.2 -19.1  30 267   9.8      1125 37.837 -75.468         3.44
 886.9  -4.2 -19.2  30 267   9.8      1131 37.837 -75.468         3.45
 886.4  -4.3 -19.3  30 268   9.8      1135 37.837 -75.468         3.47
 885.8  -4.3 -19.4  30 268   9.8      1139 37.837 -75.468         3.49
 885.3  -4.3 -19.5  30 268   9.8      1144 37.837 -75.468         3.50
 884.8  -4.4 -19.6  29 269   9.8      1150 37.837 -75.468         3.52
 884.2  -4.4 -19.7  29 269   9.8      1155 37.838 -75.468         3.54
 883.7  -4.4 -19.9  29 269   9.8      1159 37.838 -75.468         3.55
 883.2  -4.5 -20.1  28 270   9.8      1163 37.838 -75.467         3.57
 882.7  -4.5 -20.4  28 270   9.7      1167 37.838 -75.467         3.59
 882.2  -4.5 -20.6  27 271   9.7      1172 37.838 -75.467         3.60
 881.7  -4.6 -20.8  27 271   9.6      1176 37.838 -75.467         3.62
 881.2  -4.6 -20.9  27 272   9.5      1181 37.838 -75.467         3.64
 880.6  -4.6 -20.8  27 272   9.5      1185 37.837 -75.467         3.65
 880.1  -4.7 -20.7  27 272   9.4      1191 37.837 -75.467         3.67
 879.6  -4.7 -20.7  27 272   9.3      1196 37.837 -75.467         3.69
 879.1  -4.8 -20.8  27 273   9.2      1201 37.837 -75.466         3.70
 878.5  -4.8 -20.9  27 273   9.1      1205 37.837 -75.466         3.72
 878.0  -4.9 -21.0  27 273   9.0      1209 37.837 -75.466         3.74
 877.5  -4.9 -21.0  27 273   8.9      1213 37.837 -75.466         3.75
 877.0  -5.0 -21.1  27 273   8.9      1218 37.837 -75.466         3.77
 876.4  -5.0 -21.1  27 272   8.8      1224 37.837 -75.466         3.79
 875.9  -5.1 -21.1  27 272   8.7      1229 37.837 -75.466         3.80
 875.4  -5.1 -21.1  27 272   8.6      1233 37.837 -75.466         3.82
 874.8  -5.1 -21.2  27 271   8.5      1237 37.837 -75.466         3.84
 874.3  -5.2 -21.3  27 271   8.5      1242 37.837 -75.466         3.85
 873.8  -5.2 -21.4  27 270   8.4      1248 37.837 -75.466         3.87
 873.2  -5.3 -21.6  27 270   8.3      1252 37.837 -75.466         3.89
 872.7  -5.3 -21.6  26 269   8.3      1257 37.837 -75.465         3.90
 872.2  -5.3 -21.7  26 268   8.3      1263 37.837 -75.465         3.92
 871.6  -5.4 -21.7  26 268   8.2      1266 37.837 -75.465         3.94
 871.1  -5.4 -21.7  26 267   8.2      1272 37.837 -75.465         3.95
 870.5  -5.5 -21.7  27 267   8.2      1276 37.837 -75.465         3.97
 870.0  -5.5 -21.7  27 266   8.2      1282 37.837 -75.465         3.99
 869.4  -5.6 -21.8  27 266   8.2      1286 37.837 -75.465         4.00
 868.9  -5.6 -21.9  26 265   8.2      1291 37.837 -75.465         4.02
 868.4  -5.6 -22.1  26 265   8.3      1296 37.837 -75.465         4.04
 867.8  -5.7 -22.3  26 265   8.3      1301 37.837 -75.465         4.05
 867.3  -5.7 -22.3  26 265   8.3      1306 37.837 -75.465         4.07
 866.7  -5.7 -22.4  26 266   8.4      1311 37.837 -75.464         4.09
 866.2  -5.8 -22.6  25 266   8.4      1316 37.837 -75.464         4.10
 865.7  -5.8 -22.7  25 266   8.4      1321 37.837 -75.464         4.12
 865.1  -5.9 -22.8  25 267   8.5      1325 37.837 -75.464         4.14
 864.6  -5.9 -22.9  25 268   8.5      1330 37.837 -75.464         4.15
 864.1  -5.9 -23.0  25 269   8.5      1335 37.837 -75.464         4.17
 863.6  -6.0 -23.0  25 269   8.6      1339 37.837 -75.464         4.19
 863.0  -6.0 -23.0  25 270   8.6      1344 37.838 -75.464         4.20
 862.5  -6.1 -23.1  25 272   8.7      1348 37.838 -75.464         4.22
 861.9  -6.1 -23.3  24 273   8.7      1353 37.838 -75.464         4.24
 861.4  -6.2 -23.5  24 274   8.8      1359 37.838 -75.463         4.25
 860.8  -6.2 -23.8  23 275   8.9      1365 37.838 -75.463         4.27
 860.2  -6.2 -24.0  23 277   8.9      1370 37.838 -75.463         4.29
 859.5  -6.3 -24.2  23 278   9.0      1375 37.838 -75.463         4.30
 858.9  -6.3 -24.6  22 279   9.1      1382 37.837 -75.463         4.32
 858.3  -6.3 -25.0  21 280   9.1      1388 37.837 -75.463         4.34
 857.7  -6.4 -25.6  20 281   9.2      1394 37.837 -75.463         4.35
 857.1  -6.4 -26.2  19 283   9.3      1399 37.837 -75.463         4.37
 856.5  -6.4 -26.9  18 284   9.4      1405 37.837 -75.463         4.39
 855.9  -6.5 -27.6  17 285   9.5      1410 37.837 -75.463         4.40
 855.3  -6.5 -28.3  16 286   9.5      1414 37.837 -75.462         4.42
 854.7  -6.5 -28.8  15 287   9.6      1420 37.837 -75.462         4.44
 854.1  -6.5 -29.4  14 287   9.7      1426 37.837 -75.462         4.45
 853.5  -6.6 -30.2  13 288   9.8      1431 37.837 -75.462         4.47
 853.0  -6.6 -31.5  12 289   9.8      1437 37.837 -75.462         4.49
 852.4  -6.5 -33.2  10 290   9.9      1441 37.837 -75.462         4.50
 851.9  -6.5 -35.2   8 290  10.0      1446 37.837 -75.462         4.52
 851.4  -6.4 -37.2   7 291  10.0      1451 37.837 -75.462         4.54
 850.9  -6.3 -38.6   6 291  10.0      1455 37.837 -75.462         4.55
 850.3  -6.3 -39.1   5 291  10.1      1460 37.837 -75.462         4.57
 849.8  -6.2 -39.0   5 292  10.1      1464 37.837 -75.461         4.59
 849.3  -6.1 -38.6   6 292  10.1      1469 37.837 -75.461         4.60
